"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","leads_count","purchases_count","revenue","total_cost"
"2023-06-01",103,yandex,cpc,freemium,100,25,1654810,21654
"2023-06-01",78,yandex,cpc,prof-frontend,73,12,1057000,57138
"2023-06-01",62,yandex,cpc,prof-python,61,7,613196,33026
"2023-06-01",31,yandex,cpc,base-python,28,7,476021,12524
"2023-06-01",71,vk,cpc,prof-python,40,5,355564,2028
"2023-06-01",80,vk,cpc,freemium-frontend,43,5,338083,3160
"2023-06-01",49,yandex,cpc,prof-java,49,4,284590,29490
"2023-06-01",40,yandex,cpc,base-frontend,39,3,268515,18061
"2023-06-01",51,vk,cpc,prof-java,23,2,232726,3115
"2023-06-01",14,yandex,cpc,prof-data-analytics,14,2,220264,10086
"2023-06-01",13,yandex,cpc,prof-professions-brand,13,3,154287,4818
"2023-06-20",3,telegram,cpp,base-java,1,1,151192,
"2023-06-01",4,yandex,cpc,dod-php,4,1,150255,5964
"2023-06-01",4,yandex,cpc,base-professions-retarget,4,1,134100,151
"2023-06-07",3,vk,social,hexlet-blog,1,1,84000,
